layer_name,layer_type,layer_depth,rows,cols,full_rank,effective_rank,effective_rank_ratio,stable_rank,stable_rank_ratio,participation_ratio,participation_ratio_ratio,frobenius_norm,top_singular_value,rank_at_90,rank_at_90_ratio,rank_at_95,rank_at_95_ratio,rank_at_99,rank_at_99_ratio,relative_error_r4,relative_error_r8,relative_error_r16,relative_error_r32,relative_error_r64
bert.encoder.layer.1.intermediate.dense.weight,ffn,1,3072,768,768,665.8439,0.867,17.3861,0.0226,152.2089,0.1982,12.142262,2.912047,450,0.5859,560,0.7292,703,0.9154,0.948423,0.926474,0.892403,0.842319,0.769645
bert.encoder.layer.1.output.dense.weight,ffn,1,768,3072,768,623.9287,0.8124,24.6252,0.0321,96.0797,0.1251,11.3557,2.288356,394,0.513,524,0.6823,694,0.9036,0.927977,0.876851,0.80945,0.736601,0.65761
bert.encoder.layer.2.attention.self.query.weight,attention,2,768,768,768,485.0989,0.6316,29.1484,0.038,112.5225,0.1465,6.16757,1.142371,234,0.3047,320,0.4167,484,0.6302,0.942058,0.901536,0.840562,0.753543,0.633537
bert.encoder.layer.2.attention.self.key.weight,attention,2,768,768,768,489.3556,0.6372,24.4042,0.0318,111.2643,0.1449,6.120921,1.239036,240,0.3125,325,0.4232,488,0.6354,0.941159,0.902079,0.841503,0.755536,0.638355
bert.encoder.layer.2.attention.self.value.weight,attention,2,768,768,768,490.1711,0.6382,35.5739,0.0463,125.1592,0.163,5.441163,0.912275,237,0.3086,323,0.4206,490,0.638,0.94835,0.912188,0.854028,0.767584,0.644399
bert.encoder.layer.2.attention.output.dense.weight,attention,2,768,768,768,488.2518,0.6357,29.9845,0.039,111.9031,0.1457,5.527867,1.009507,235,0.306,323,0.4206,491,0.6393,0.943194,0.900833,0.838494,0.749969,0.630147
bert.encoder.layer.2.intermediate.dense.weight,ffn,2,3072,768,768,657.2869,0.8558,15.7539,0.0205,130.6456,0.1701,12.025973,3.029886,437,0.569,551,0.7174,701,0.9128,0.943261,0.918521,0.880077,0.825675,0.749985
bert.encoder.layer.2.output.dense.weight,ffn,2,768,3072,768,632.5121,0.8236,20.8351,0.0271,110.748,0.1442,11.200668,2.453841,405,0.5273,531,0.6914,697,0.9076,0.931257,0.889694,0.836946,0.768551,0.684353
bert.encoder.layer.3.attention.self.query.weight,attention,3,768,768,768,473.5827,0.6166,20.0981,0.0262,89.644,0.1167,6.0646,1.352774,219,0.2852,306,0.3984,477,0.6211,0.927372,0.883682,0.816363,0.723635,0.602595
bert.encoder.layer.3.attention.self.key.weight,attention,3,768,768,768,487.3225,0.6345,23.8035,0.031,105.7104,0.1376,6.047776,1.239582,234,0.3047,322,0.4193,489,0.6367,0.937986,0.897428,0.834993,0.747347,0.628365
